timestamp;[Room temp­erature (BT50)][°C][40033];
2025-11-09T23:51:01+00:00;21.2;
2025-11-10T08:08:00+00:00;21.3;
2025-11-10T11:00:28+00:00;20.8;
2025-11-10T23:49:31+00:00;20.3;
2025-11-11T03:50:36+00:00;19.8;
2025-11-11T09:23:25+00:00;20.3;
2025-11-11T11:58:18+00:00;20.8;
2025-11-11T20:50:01+00:00;21.3;
2025-11-11T22:33:00+00:00;21.8;
2025-11-12T01:33:35+00:00;21.3;
2025-11-12T04:17:32+00:00;20.8;
2025-11-12T22:14:28+00:00;21.3;
2025-11-13T09:20:58+00:00;21.1;
2025-11-14T05:38:01+00:00;21.6;
2025-11-14T09:17:49+00:00;21.1;
2025-11-14T11:22:20+00:00;20.6;
2025-11-14T22:05:54+00:00;21.1;
2025-11-15T04:22:15+00:00;20.6;
2025-11-15T09:59:44+00:00;21.1;
2025-11-15T14:25:43+00:00;20.6;
2025-11-16T01:34:45+00:00;21.1;
2025-11-16T14:04:18+00:00;20.6;
2025-11-16T16:44:50+00:00;20.1;
2025-11-16T22:39:33+00:00;20.6;
2025-11-17T00:47:09+00:00;21.1;
2025-11-17T05:33:55+00:00;21.6;
2025-11-17T08:34:46+00:00;21.1;
2025-11-17T14:59:31+00:00;20.6;
2025-11-17T19:36:22+00:00;20.1;
2025-11-17T21:49:29+00:00;20.6;
2025-11-18T00:26:24+00:00;21.1;
2025-11-18T03:57:14+00:00;21.6;
2025-11-18T14:42:53+00:00;21.1;
2025-11-18T16:28:08+00:00;20.6;
2025-11-18T18:41:39+00:00;20.1;
2025-11-18T22:43:55+00:00;20.6;
2025-11-19T00:21:23+00:00;21.1;
2025-11-19T02:08:59+00:00;21.6;
2025-11-19T08:13:17+00:00;21.1;
2025-11-19T16:55:27+00:00;20.6;
2025-11-19T22:11:01+00:00;21.1;
2025-11-20T01:41:33+00:00;21.6;
2025-11-20T08:49:50+00:00;21.1;
Fri Nov 21 2025 08:49:41 GMT+0100 (Central European Standard Time);21.1;
