timestamp;[Retur­led­ning (BT3)][°C][40012];
2025-11-24T23:11:30+00:00;32.8;
2025-11-24T23:19:37+00:00;32.3;
2025-11-24T23:22:51+00:00;31.8;
2025-11-24T23:33:01+00:00;32.3;
2025-11-24T23:41:21+00:00;32.8;
2025-11-24T23:59:23+00:00;33.3;
2025-11-25T00:38:25+00:00;32.8;
2025-11-25T00:40:34+00:00;32.3;
2025-11-25T00:42:11+00:00;31.8;
2025-11-25T00:50:40+00:00;32.3;
2025-11-25T00:57:34+00:00;32.8;
2025-11-25T01:10:56+00:00;33.3;
2025-11-25T01:21:09+00:00;33.8;
2025-11-25T01:34:41+00:00;34.3;
2025-11-25T01:45:34+00:00;34.8;
2025-11-25T01:54:52+00:00;35.3;
2025-11-25T02:08:40+00:00;34.8;
2025-11-25T02:10:42+00:00;34.3;
2025-11-25T02:22:07+00:00;34.8;
2025-11-25T02:28:13+00:00;35.3;
2025-11-25T02:34:56+00:00;35.8;
2025-11-25T02:46:35+00:00;36.3;
2025-11-25T03:03:53+00:00;36.8;
2025-11-25T03:30:51+00:00;36.3;
2025-11-25T03:32:42+00:00;35.8;
2025-11-25T03:48:13+00:00;36.3;
2025-11-25T03:55:42+00:00;36.8;
2025-11-25T04:04:02+00:00;36.8;
2025-11-25T04:04:03+00:00;49.3;
2025-11-25T04:04:47+00:00;49.8;
2025-11-25T04:07:28+00:00;51.3;
2025-11-25T04:08:34+00:00;51.8;
2025-11-25T04:10:48+00:00;52.8;
2025-11-25T04:11:51+00:00;53.3;
2025-11-25T04:12:56+00:00;53.8;
2025-11-25T04:14:15+00:00;46.6;
2025-11-25T04:16:07+00:00;33.3;
2025-11-25T04:24:14+00:00;33.8;
2025-11-25T04:26:46+00:00;34.3;
2025-11-25T04:29:44+00:00;34.8;
2025-11-25T04:33:33+00:00;35.3;
2025-11-25T04:38:24+00:00;35.8;
2025-11-25T04:46:32+00:00;36.3;
2025-11-25T04:57:22+00:00;35.8;
2025-11-25T04:59:50+00:00;35.3;
2025-11-25T05:06:54+00:00;35.8;
2025-11-25T05:11:11+00:00;36.3;
2025-11-25T05:20:54+00:00;36.8;
2025-11-25T06:09:35+00:00;36.3;
2025-11-25T06:11:02+00:00;35.8;
2025-11-25T06:13:25+00:00;35.3;
2025-11-25T06:14:54+00:00;34.8;
2025-11-25T06:25:29+00:00;35.3;
2025-11-25T06:32:20+00:00;30.5;
2025-11-25T06:35:26+00:00;31.5;
2025-11-25T06:38:56+00:00;33.5;
2025-11-25T06:41:11+00:00;35.0;
2025-11-25T06:44:29+00:00;37.0;
2025-11-25T06:45:55+00:00;38.0;
2025-11-25T06:49:57+00:00;40.5;
2025-11-25T06:54:47+00:00;45.0;
2025-11-25T06:59:51+00:00;30.5;
2025-11-25T07:01:13+00:00;30.0;
2025-11-25T07:02:39+00:00;29.5;
2025-11-25T07:06:18+00:00;29.0;
2025-11-25T07:11:09+00:00;28.5;
2025-11-25T07:16:08+00:00;28.0;
2025-11-25T07:21:52+00:00;27.5;
2025-11-25T07:27:58+00:00;27.0;
2025-11-25T07:35:17+00:00;26.5;
2025-11-25T07:43:36+00:00;26.0;
2025-11-25T07:54:01+00:00;25.5;
2025-11-25T08:05:30+00:00;25.0;
2025-11-25T08:21:06+00:00;24.5;
2025-11-25T08:36:23+00:00;24.0;
2025-11-25T09:01:51+00:00;23.5;
2025-11-25T09:33:49+00:00;23.0;
2025-11-25T09:45:43+00:00;23.5;
2025-11-25T09:47:52+00:00;24.0;
2025-11-25T09:50:54+00:00;24.5;
2025-11-25T09:53:09+00:00;25.0;
2025-11-25T09:55:36+00:00;25.5;
2025-11-25T09:58:04+00:00;26.0;
2025-11-25T10:00:48+00:00;26.5;
2025-11-25T10:03:53+00:00;27.0;
2025-11-25T10:07:30+00:00;27.5;
2025-11-25T10:11:48+00:00;28.0;
2025-11-25T10:17:41+00:00;28.5;
2025-11-25T10:44:31+00:00;28.5;
2025-11-25T10:44:32+00:00;40.7;
2025-11-25T10:47:15+00:00;41.2;
2025-11-25T10:48:21+00:00;41.7;
2025-11-25T10:49:59+00:00;42.2;
2025-11-25T10:51:18+00:00;42.7;
2025-11-25T10:52:26+00:00;43.2;
2025-11-25T10:53:44+00:00;43.7;
2025-11-25T10:54:54+00:00;44.2;
2025-11-25T10:56:04+00:00;44.7;
2025-11-25T10:57:13+00:00;45.2;
2025-11-25T10:58:20+00:00;45.7;
2025-11-25T10:59:31+00:00;46.2;
2025-11-25T11:01:08+00:00;29.6;
2025-11-25T11:01:49+00:00;27.1;
2025-11-25T11:03:25+00:00;26.6;
2025-11-25T11:05:41+00:00;26.1;
2025-11-25T11:12:00+00:00;25.6;
2025-11-25T11:19:16+00:00;25.1;
2025-11-25T11:27:34+00:00;24.6;
2025-11-25T11:35:32+00:00;24.1;
2025-11-25T11:49:01+00:00;23.6;
2025-11-25T12:06:32+00:00;23.1;
2025-11-25T12:31:36+00:00;22.6;
2025-11-25T13:06:40+00:00;22.1;
2025-11-25T13:28:40+00:00;22.6;
2025-11-25T13:34:45+00:00;23.1;
2025-11-25T13:39:21+00:00;23.6;
2025-11-25T13:44:18+00:00;24.1;
2025-11-25T13:48:34+00:00;24.6;
2025-11-25T13:54:59+00:00;25.1;
2025-11-25T14:02:03+00:00;25.1;
2025-11-25T14:02:04+00:00;44.7;
2025-11-25T14:02:24+00:00;45.2;
2025-11-25T14:03:29+00:00;45.7;
2025-11-25T14:05:11+00:00;46.2;
2025-11-25T14:06:25+00:00;46.7;
2025-11-25T14:07:39+00:00;47.2;
2025-11-25T14:09:01+00:00;47.7;
2025-11-25T14:10:10+00:00;48.2;
2025-11-25T14:12:24+00:00;49.2;
2025-11-25T14:13:39+00:00;49.7;
2025-11-25T14:14:56+00:00;50.2;
2025-11-25T14:16:14+00:00;50.7;
2025-11-25T14:17:51+00:00;51.2;
2025-11-25T14:19:24+00:00;51.7;
2025-11-25T14:21:34+00:00;52.2;
2025-11-25T14:23:22+00:00;52.7;
2025-11-25T14:25:20+00:00;53.2;
2025-11-25T14:27:34+00:00;37.2;
2025-11-25T14:28:51+00:00;24.1;
2025-11-25T14:33:16+00:00;24.6;
2025-11-25T14:40:42+00:00;25.1;
2025-11-25T14:51:55+00:00;25.6;
2025-11-25T15:40:36+00:00;25.1;
2025-11-25T15:45:24+00:00;24.6;
2025-11-25T15:50:14+00:00;24.1;
2025-11-25T15:57:29+00:00;23.6;
2025-11-25T16:06:55+00:00;23.1;
2025-11-25T16:19:49+00:00;22.6;
2025-11-25T16:38:11+00:00;22.1;
2025-11-25T16:43:36+00:00;26.0;
2025-11-25T16:46:25+00:00;26.0;
2025-11-25T16:46:26+00:00;38.9;
2025-11-25T16:48:38+00:00;39.4;
2025-11-25T16:53:00+00:00;41.9;
2025-11-25T16:57:05+00:00;43.9;
2025-11-25T16:58:39+00:00;44.4;
2025-11-25T17:01:02+00:00;40.9;
2025-11-25T17:03:43+00:00;38.9;
2025-11-25T17:05:50+00:00;35.4;
2025-11-25T17:08:28+00:00;35.9;
2025-11-25T17:09:14+00:00;36.4;
2025-11-25T17:10:16+00:00;36.9;
2025-11-25T17:13:31+00:00;37.9;
2025-11-25T17:17:18+00:00;39.9;
2025-11-25T17:23:36+00:00;43.4;
2025-11-25T17:25:06+00:00;42.4;
2025-11-25T17:26:43+00:00;42.9;
2025-11-25T17:28:37+00:00;43.9;
2025-11-25T17:33:50+00:00;47.9;
2025-11-25T17:37:03+00:00;50.4;
2025-11-25T17:38:53+00:00;51.4;
2025-11-25T17:40:02+00:00;51.9;
2025-11-25T17:41:22+00:00;52.4;
2025-11-25T17:44:21+00:00;23.8;
2025-11-25T17:44:53+00:00;22.3;
2025-11-25T17:57:41+00:00;22.8;
2025-11-25T18:05:21+00:00;23.3;
2025-11-25T18:11:59+00:00;23.8;
2025-11-25T18:19:12+00:00;24.3;
2025-11-25T18:25:43+00:00;24.8;
Tue Nov 25 2025 19:33:24 GMT+0100 (centraleuropeisk normaltid);24.8;
